filename,C1,C2,C3,C4,x0,gamma,ierr,message
lmc2_bc10-wd01\dusty\clumpy\lmc2_bc10-wd01_dusty_clumpy-s6.32456e+14-t10.0-m0.1-a1_global_lum.table.fits,0.979962773213911,0.1470640272525305,0.10906843202925469,-0.011299710612100116,4.554427705519916,0.916357811532857,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\dusty\clumpy\lmc2_bc10-wd01_dusty_clumpy-s6.32456e+14-t2.2-m0.1-a1_global_lum.table.fits,0.289508706207959,0.6130716563325976,0.5074124703330637,-0.07189228320945575,4.590842165387463,0.8670667972833226,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\dusty\clumpy\lmc2_bc10-wd01_dusty_clumpy-s6.32456e+14-t4.6-m0.1-a1_global_lum.table.fits,0.9826371080645142,0.2671455583324539,0.2553921501608876,-0.029059508322659997,4.58044955903128,0.913497826646392,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\dusty\homo\lmc2_bc10-wd01_dusty_homo-s6.32456e+14-t0.1-m0.1-a1_global_lum.table.fits,-7.1065824952570935,2.954283485767755,0.4397093905002329,0.12714305417610716,4.5320465491927235,0.8338499884149341,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\dusty\homo\lmc2_bc10-wd01_dusty_homo-s6.32456e+14-t0.2-m0.1-a1_global_lum.table.fits,-6.431847914974743,2.7498664828670574,0.4871655757632442,0.07322793065774261,4.531187965026213,0.8419204191032539,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\dusty\homo\lmc2_bc10-wd01_dusty_homo-s6.32456e+14-t0.5-m0.1-a1_global_lum.table.fits,-5.154972058672451,2.379236351465581,0.6174546570806253,-0.02843374177372244,4.546588001688227,0.8601399689894169,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\dusty\homo\lmc2_bc10-wd01_dusty_homo-s6.32456e+14-t1.0-m0.1-a1_global_lum.table.fits,-2.8911242326872038,1.6814744719826373,0.6622178866455256,-0.0928233521005367,4.551765969498279,0.8377595910662141,5,Number of calls to function has reached maxfev = 100.
lmc2_bc10-wd01\dusty\homo\lmc2_bc10-wd01_dusty_homo-s6.32456e+14-t10.0-m0.1-a1_global_lum.table.fits,0.7744498867790813,0.2828259960490974,0.21670182884037795,-0.02960368374290613,4.585607138380822,0.9079959331664964,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\dusty\homo\lmc2_bc10-wd01_dusty_homo-s6.32456e+14-t2.2-m0.1-a1_global_lum.table.fits,-0.7070251779391875,0.9746407375919133,0.5373665365932394,-0.07880511216711521,4.560450823449325,0.8253207323260225,5,Number of calls to function has reached maxfev = 100.
lmc2_bc10-wd01\dusty\homo\lmc2_bc10-wd01_dusty_homo-s6.32456e+14-t4.6-m0.1-a1_global_lum.table.fits,0.4258664312705534,0.5094968044841907,0.32332678075133986,-0.046173671289955934,4.580594325070502,0.8339939660772699,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\shell3\clumpy\lmc2_bc10-wd01_shell3_clumpy-s6.32456e+14-t0.1-m0.1-a1_global_lum.table.fits,-7.045966022205637,2.9352956625712583,0.5274704725309595,0.11879909900832379,4.526890971604319,0.8355279073008965,2,The relative error between two consecutive iterates is at most 0.000000
